attack,malicious_fraction,final_accuracy_%,accuracy_drop_%,asr,rounds,elapsed_min
Label-Flip (3→8),10%,99.05,0.10,N/A,20,11.6
Label-Flip (3→8),20%,98.81,0.34,N/A,20,11.7
Label-Flip (3→8),30%,97.98,1.17,N/A,20,11.9
Backdoor (trigger→0),10%,97.45,1.70,11.04,20,12.0
Backdoor (trigger→0),20%,98.46,0.69,11.04,20,13.6
Backdoor (trigger→0),30%,98.37,0.78,11.04,20,12.0
Gradient Scale (λ=2),20%,99.12,0.03,N/A,20,11.5
Gradient Scale (λ=5),20%,98.98,0.17,N/A,20,11.3
Gradient Scale (λ=10),20%,78.66,20.49,N/A,20,11.6
Model Replacement,10%,99.11,0.04,N/A,20,12.4
