round,accuracy,loss
0,0.0963,2.307116106414795
1,0.4531,1.38184676322937
2,0.9161,0.27974028911590576
3,0.4662,1.8679163970947266
4,0.9639,0.11987878035604954
5,0.6027,1.0240065642356873
6,0.9634,0.1172831755965948
7,0.6858,0.8226519594192505
8,0.9636,0.11568401298895478
9,0.6899,0.8566555876731873
10,0.9671,0.10551170575022698
11,0.7413,0.7364575151443481
12,0.9758,0.07832334384843707
13,0.8093,0.4918327011108398
14,0.9701,0.09558791606873274
15,0.8595,0.3668444452285767
16,0.9717,0.08994010407477618
17,0.9155,0.24786910971403123
18,0.9776,0.07178951989449561
19,0.9534,0.1484481935530901
20,0.9842,0.05183277449272573
