round,accuracy,loss
0,0.1719,2.3034964576721193
1,0.938,0.5764484243392944
2,0.9716,0.09977095598876476
3,0.9785,0.06544106055647135
4,0.9815,0.05349955571480095
5,0.9853,0.043414882178604605
6,0.9857,0.04193711810894311
7,0.9838,0.04946164565980434
8,0.9884,0.03450663204770535
9,0.9881,0.03427349812835455
10,0.9889,0.030575854230485856
11,0.9901,0.0293505090710707
12,0.9898,0.029032456547277978
13,0.9898,0.028355005322769283
14,0.9898,0.027654489970067517
15,0.9906,0.026283465198939666
16,0.9905,0.026656060331733896
17,0.9908,0.025992893518926575
18,0.9913,0.025037088519451207
19,0.9919,0.024538900901330634
20,0.9915,0.025416994505433832
