round,accuracy,loss
0,0.0924,2.3002990516662596
1,0.8755,0.4473488541841507
2,0.9662,0.11625533037781716
3,0.958,0.14425734672546386
4,0.9755,0.07558830374106765
5,0.9825,0.054814709935337304
6,0.9813,0.05727134763598442
7,0.9838,0.049531842942535875
8,0.9833,0.05521827024267986
9,0.9852,0.04411401562727988
10,0.9873,0.04073289788244292
11,0.9883,0.04059071070589125
12,0.9858,0.04662060760036111
13,0.9863,0.04257558406740427
14,0.9863,0.045890013893926516
15,0.9884,0.03784918689997867
16,0.9879,0.03897695119654527
17,0.988,0.0390840112748323
18,0.9882,0.037328761081397537
19,0.987,0.044538246296159927
20,0.9879,0.038850719885900616
