round,accuracy,loss
0,0.0761,2.3080863468170167
1,0.9006,0.6409774577140808
2,0.9645,0.11687312518358231
3,0.9761,0.07510445757508277
4,0.9816,0.05628002754636109
5,0.9831,0.04945315655525774
6,0.9846,0.04624972428539768
7,0.9855,0.04138669313639402
8,0.9854,0.039555211405456064
9,0.9866,0.03726831470951438
10,0.989,0.03265140589564108
11,0.9884,0.03311117661334574
12,0.9885,0.03210831062719226
13,0.9888,0.032674119417276236
14,0.9898,0.030992557426309214
15,0.9894,0.02995962723151315
16,0.9896,0.029485982458875515
17,0.9895,0.028661636286624707
18,0.9894,0.029100954905175603
19,0.9903,0.027550867788749746
20,0.9903,0.0272651676640613
