round,accuracy,loss
0,0.1135,2.3116488662719727
1,0.909,0.6923966440200806
2,0.9714,0.08683210133016109
3,0.9792,0.061889590023458
4,0.9832,0.05146067267730832
5,0.9847,0.044687771083042026
6,0.9873,0.039341025470010935
7,0.9882,0.035261850494798276
8,0.9885,0.03340494506508112
9,0.9887,0.032502148610726
10,0.9893,0.03182910583242774
11,0.9898,0.030055520692281425
12,0.9902,0.028578800646355377
13,0.9901,0.027882852680888026
14,0.9912,0.026367010148055852
15,0.9914,0.026716891981009395
16,0.9912,0.02530223376606591
17,0.9913,0.026490319756115786
18,0.991,0.024816829186026006
19,0.9903,0.02597600092915818
20,0.9923,0.024051770614262204
