round,accuracy,loss
0,0.1063,2.297670658493042
1,0.8728,0.7211692574501037
2,0.9591,0.13328122025728226
3,0.9727,0.08501624033004046
4,0.9785,0.06439985314048827
5,0.9803,0.057336027390137316
6,0.9828,0.0499362967396155
7,0.9839,0.047317482824623586
8,0.9852,0.04372880093147978
9,0.9867,0.03907283887434751
10,0.9855,0.041641678857244555
11,0.9861,0.03954819444660097
12,0.9888,0.03413390868576244
13,0.9875,0.03391741505684331
14,0.9883,0.033323703806707634
15,0.9889,0.03256507547656074
16,0.9887,0.033412476014439016
17,0.9901,0.03172325125031639
18,0.9889,0.03309802022092044
19,0.9894,0.03100780676139984
20,0.9899,0.029898220071243122
