round,accuracy,loss
0,0.0734,2.3074924167633055
1,0.939,0.7281395580291748
2,0.9694,0.1146645518541336
3,0.9788,0.07101094339489937
4,0.9816,0.05726426145285368
5,0.984,0.048677842295262966
6,0.9852,0.04249868641458452
7,0.9869,0.03863013742668554
8,0.9883,0.035194393758056684
9,0.9888,0.032003652284108106
10,0.9892,0.03126614296911284
11,0.99,0.030947078892844728
12,0.9896,0.029467582711204886
13,0.9904,0.028050455623469316
14,0.9901,0.028616065025771967
15,0.9907,0.026845789543131833
16,0.9906,0.026629169520700817
17,0.9919,0.0254706149317557
18,0.9916,0.025575212445482613
19,0.992,0.02425101422119187
20,0.9919,0.024014497219288024
