round,accuracy,loss
0,0.0955,2.3099728713989256
1,0.9331,0.8889329126358032
2,0.9672,0.11613124387860298
3,0.9763,0.07404077861011028
4,0.9823,0.056068263049423694
5,0.9849,0.04561183497384191
6,0.9865,0.04219458542875946
7,0.9859,0.042180599071457985
8,0.9873,0.03712132520936429
9,0.9878,0.03544030995219946
10,0.9893,0.03264053489072248
11,0.9895,0.03083400795729831
12,0.9891,0.030241658249124885
13,0.989,0.03163677048031241
14,0.9905,0.02747543145418167
15,0.9899,0.02808681944021955
16,0.9899,0.027058226945763455
17,0.9899,0.026664778576046228
18,0.9902,0.027398531123483554
19,0.9904,0.026566230253013783
20,0.9912,0.025413174450816586
