round,accuracy,loss
0,0.0974,2.319324278640747
1,0.7674,0.941039561843872
2,0.8658,0.4848901277542114
3,0.9,0.2386811439037323
4,0.8862,0.3231120740413666
5,0.9184,0.1823667822599411
6,0.8835,0.31709150137901304
7,0.9138,0.17639255521297456
8,0.889,0.25990703287124634
9,0.9303,0.13834910099506378
10,0.8893,0.27099609298706057
11,0.9483,0.11320751262903213
12,0.8896,0.28855915870666504
13,0.9565,0.10408199487328529
14,0.8908,0.2290373412847519
15,0.9413,0.12363350706100464
16,0.8939,0.22298544330596923
17,0.9227,0.14487381584644318
18,0.896,0.20817706391811372
19,0.9028,0.1756141014933586
20,0.9494,0.11131671414375305
