round,accuracy,loss
0,0.0918,2.3071891700744627
1,0.8923,0.6014677615642547
2,0.9576,0.13297083660960196
3,0.962,0.11057723922729493
4,0.9676,0.09430377802252769
5,0.9637,0.09547083123922348
6,0.9668,0.08976283122301101
7,0.9628,0.09518419753909112
8,0.9787,0.06647166287600995
9,0.9776,0.06674174403250217
10,0.9823,0.05805447812527418
11,0.9598,0.09389279507398605
12,0.9842,0.04987244881466031
13,0.9754,0.07053635236620903
14,0.9862,0.04594316890612245
15,0.94,0.11233040475249291
16,0.9865,0.042536909741163254
17,0.9307,0.12020760167837143
18,0.9878,0.036570878477022055
19,0.9573,0.09060781300365925
20,0.9858,0.048363748694956306
