round,accuracy,loss
0,0.0874,2.308123328781128
1,0.9229,0.6058024021625519
2,0.9649,0.11939218071997165
3,0.9748,0.07443271458670497
4,0.9789,0.06366541083976626
5,0.982,0.051000995398685335
6,0.9838,0.046066788535285744
7,0.9849,0.04253003466948867
8,0.9855,0.03919474747832864
9,0.9873,0.03684113314263523
10,0.9884,0.03404916711486876
11,0.9881,0.03564635569918901
12,0.9881,0.034075479552662
13,0.9888,0.03167732037808746
14,0.9893,0.031026263774721882
15,0.9894,0.03053562659919262
16,0.9909,0.02857303697441239
17,0.9902,0.030054005059995687
18,0.9909,0.02773362269697245
19,0.9904,0.0279227890023496
20,0.9906,0.028032325070444494
