round,accuracy,loss
0,0.1444,2.2985673000335693
1,0.8094,0.6687911709785461
2,0.9712,0.09861313632130622
3,0.9542,0.14063939908146858
4,0.9838,0.053715114795416595
5,0.9795,0.060245257829874756
6,0.9822,0.05322392810853198
7,0.9836,0.048125609192997215
8,0.9846,0.04817712740954012
9,0.9875,0.03733278962494806
10,0.9863,0.040328841364663096
11,0.9893,0.03349899944874342
12,0.9863,0.04066373469673563
13,0.9892,0.03445762308956473
14,0.9884,0.03924570213611005
15,0.9891,0.03673531967724994
16,0.9871,0.042542581103136766
17,0.9906,0.030058352780406132
18,0.9899,0.031027285203302744
19,0.9901,0.032806846943675194
20,0.9885,0.03559915308376076
