round,accuracy,loss
0,0.098,2.3011465522766112
1,0.8178,0.7131855971336365
2,0.9603,0.1290102990269661
3,0.9767,0.07895745750367641
4,0.9799,0.059894365501403805
5,0.9819,0.053085408062115313
6,0.9842,0.047095172685384754
7,0.9853,0.04445084808859974
8,0.985,0.0440562448438257
9,0.9867,0.037209765781275925
10,0.9866,0.03857877536341548
11,0.9882,0.035837103846110406
12,0.9873,0.03584531834884547
13,0.9895,0.032580126739293336
14,0.9886,0.03581004211008549
15,0.989,0.03399696265663952
16,0.9894,0.031974164932919664
17,0.99,0.030722608927288092
18,0.99,0.03079567629797384
19,0.9902,0.02938127991068177
20,0.9904,0.029542205015267244
