round,accuracy,loss
0,0.0889,2.2971283557891846
1,0.8947,0.67621944065094
2,0.9705,0.09147806611806154
3,0.9813,0.060293653673678636
4,0.9848,0.048058476567268374
5,0.9856,0.044180931211262944
6,0.9868,0.03769965159315616
7,0.9872,0.036359382104501126
8,0.9878,0.03537867510067299
9,0.9887,0.03237760143969208
10,0.9893,0.030040095098502934
11,0.9893,0.030907120660785586
12,0.9904,0.027956400139909236
13,0.9895,0.028179759260383436
14,0.9913,0.02759904042016715
15,0.991,0.02681323990251403
16,0.9904,0.028927940946724264
17,0.9908,0.025980184026597998
18,0.9907,0.025695380391320213
19,0.9917,0.024176231243624353
20,0.9914,0.025570312052802184
