attack,fraction,variant,final_acc
GradScale,0.1,FedAvg,98.79
GradScale,0.1,Krum,99.12
GradScale,0.1,TrimMean,99.18
GradScale,0.1,Combined,99.07
LabelFlip,0.1,FedAvg,99.18
LabelFlip,0.1,Krum,99.19
LabelFlip,0.1,TrimMean,99.12
LabelFlip,0.1,Combined,99.02
ModelReplace,0.1,FedAvg,99.04
ModelReplace,0.1,Krum,99.01
ModelReplace,0.1,TrimMean,99.11
ModelReplace,0.1,Combined,99.04
GradScale,0.2,FedAvg,92.22
GradScale,0.2,Krum,98.96
GradScale,0.2,TrimMean,99.23
GradScale,0.2,Combined,99.03
LabelFlip,0.2,FedAvg,98.43
LabelFlip,0.2,Krum,99.07
LabelFlip,0.2,TrimMean,98.93
LabelFlip,0.2,Combined,99.05
ModelReplace,0.2,FedAvg,98.85
ModelReplace,0.2,Krum,99.05
ModelReplace,0.2,TrimMean,99.12
ModelReplace,0.2,Combined,99.06
GradScale,0.3,FedAvg,10.1
GradScale,0.3,Krum,98.99
GradScale,0.3,TrimMean,99.14
GradScale,0.3,Combined,99.01
LabelFlip,0.3,FedAvg,98.58
LabelFlip,0.3,Krum,89.04
LabelFlip,0.3,TrimMean,98.86
LabelFlip,0.3,Combined,94.94
ModelReplace,0.3,FedAvg,99.02
ModelReplace,0.3,Krum,99.04
ModelReplace,0.3,TrimMean,99.14
ModelReplace,0.3,Combined,99.07
