round,accuracy,loss
0,0.0681,2.3009654724121096
1,0.9252,0.5870471747398377
2,0.9755,0.08304862689226866
3,0.9807,0.06000138867944479
4,0.9826,0.0494802980100736
5,0.9859,0.04282188284890726
6,0.9859,0.04028004770493135
7,0.988,0.03632649424383417
8,0.9888,0.0335600044791121
9,0.989,0.0328754623859888
10,0.9891,0.03109752314181533
11,0.989,0.03177465385111282
12,0.9901,0.0289218961036182
13,0.9908,0.028685494088398992
14,0.9906,0.02751461723584798
15,0.9903,0.02846311874988605
16,0.9907,0.027093650925782278
17,0.9904,0.027984034111139772
18,0.991,0.025212353449856163
19,0.9909,0.026057264855326504
20,0.9922,0.02463799622916995
