round,accuracy,loss
0,0.0957,2.3096456348419188
1,0.9439,0.6164297115325927
2,0.9713,0.09603733250051737
3,0.9792,0.0628765154119581
4,0.9825,0.05244494703784585
5,0.985,0.04355255591329187
6,0.9854,0.04001591566642746
7,0.9864,0.03717921543270349
8,0.9863,0.03578078967845067
9,0.9876,0.033574838532833384
10,0.9883,0.03206814221553504
11,0.9887,0.03253292390676215
12,0.9888,0.029815230095619337
13,0.9882,0.03105131770768203
14,0.9888,0.028579460910649505
15,0.9904,0.029243751340918243
16,0.9899,0.027335582376574165
17,0.9899,0.026448703234572896
18,0.99,0.026911507936759154
19,0.9901,0.02693695763295982
20,0.991,0.02723463645443553
