round,accuracy,loss
0,0.1649,2.2988359954833983
1,0.9297,0.5227509257316589
2,0.972,0.08796345631927252
3,0.9809,0.06007766969799996
4,0.9836,0.05019111365675926
5,0.9861,0.04229940536320209
6,0.9869,0.03781897812252864
7,0.987,0.03724879890801385
8,0.988,0.0340191496403655
9,0.9887,0.028785648753819986
10,0.9893,0.02939796661599539
11,0.99,0.02822571738366969
12,0.9902,0.027171933159802576
13,0.9906,0.026073016568808817
14,0.9898,0.027707155694294487
15,0.9909,0.024626476530800575
16,0.9906,0.024970278283912923
17,0.9903,0.02684737651835312
18,0.9914,0.02477828468765656
19,0.9918,0.02376227080874378
20,0.9916,0.022791052844945807
