round,accuracy,loss
0,0.133,2.302053400039673
1,0.7814,5.520330869293213
2,0.2804,2.2536203308105467
3,0.6926,21.06623712158203
4,0.494,1.6645008527755738
5,0.2495,13.936408023071289
6,0.4028,25.833250958251952
7,0.049,77.431953125
8,0.2279,4.920847714233399
9,0.0974,3.6970031230926512
10,0.0982,5.91552657623291
11,0.0974,7.740102503967285
12,0.0982,13.241292198181153
13,0.101,8.102457591247559
14,0.1032,8.76325862121582
15,0.101,8.431685102844238
16,0.0982,10.338454765319824
17,0.101,8.719904225158691
18,0.0982,7.3943931594848635
19,0.101,8.774515393066407
20,0.0982,14.117972674560546
