round,accuracy,loss
0,0.0987,2.3071074935913085
1,0.8488,0.6199840829849244
2,0.9614,0.12371703273057938
3,0.9754,0.0792758935727179
4,0.9792,0.06492197960317135
5,0.9817,0.054986567013338206
6,0.9841,0.04852591288797557
7,0.986,0.04445527288280427
8,0.9859,0.0417015367471613
9,0.9861,0.04072951557300985
10,0.987,0.03713299036901444
11,0.9877,0.03561066735093482
12,0.9875,0.03605966112650931
13,0.9882,0.03401612295950763
14,0.9879,0.03378586667971686
15,0.9896,0.02984337885286659
16,0.9905,0.030550408839294687
17,0.9889,0.032758461348339915
18,0.9896,0.02986494631045498
19,0.9899,0.030311535352864304
20,0.9893,0.03140331619537901
