round,accuracy,loss
0,0.0594,2.311999242401123
1,0.9228,0.7472922718048096
2,0.9704,0.09780040362775326
3,0.9795,0.0651136267721653
4,0.9825,0.05290470843762159
5,0.9848,0.04428554634079337
6,0.9852,0.04158520935513079
7,0.9873,0.037303527886979285
8,0.9892,0.03284050127174705
9,0.9883,0.03194971117470413
10,0.9904,0.029573437808500604
11,0.9892,0.03138828193750232
12,0.9901,0.027659116887883282
13,0.9901,0.02787464455196168
14,0.9909,0.026852163379639388
15,0.9914,0.024866895948396996
16,0.9909,0.024970627327973487
17,0.9918,0.02439531482354505
18,0.9919,0.023705851396312937
19,0.9919,0.023280367697705515
20,0.9916,0.023668942917266397
