round,accuracy,loss
0,0.09,2.3004573253631593
1,0.8082,0.6564263952255249
2,0.9733,0.09454489006996154
3,0.9674,0.10117049251496792
4,0.9766,0.07082025475502014
5,0.9774,0.07041137275993824
6,0.9858,0.04352449740059674
7,0.9859,0.043502028692141176
8,0.984,0.05175666757673025
9,0.9869,0.03963119225632399
10,0.986,0.04271890400137054
11,0.9869,0.04280988029688597
12,0.9861,0.0423800967852585
13,0.988,0.04054242047662847
14,0.9865,0.03828262276556343
15,0.9843,0.04926704382067546
16,0.9896,0.034730296252574774
17,0.9865,0.042511625264817846
18,0.9904,0.031322846425580794
19,0.9867,0.04269260000158101
20,0.9898,0.02947029960732907
