round,accuracy,loss
0,0.0992,2.3030055545806887
1,0.93,0.6667190406799316
2,0.9693,0.10384193457961083
3,0.9752,0.07609434644281864
4,0.9703,0.08343567496538162
5,0.9831,0.04966987664327025
6,0.98,0.06067057827711105
7,0.9842,0.04718591330498457
8,0.9834,0.048668645231425764
9,0.9854,0.04454177098199725
10,0.9875,0.039569088582694534
11,0.9856,0.04365726818703115
12,0.9868,0.04551802780851722
13,0.988,0.038368366903625425
14,0.9805,0.05546377229988575
15,0.9871,0.043589704575389625
16,0.9876,0.041473211177811026
17,0.9882,0.0400440438400954
18,0.9885,0.03725361509155482
19,0.9865,0.04496165693886578
20,0.9881,0.04072781684082002
