round,accuracy,loss
0,0.0931,2.3139425094604493
1,0.9427,0.6919849905967712
2,0.9681,0.10559311106204987
3,0.9722,0.09029891945719719
4,0.979,0.06550652146041393
5,0.9796,0.06337057639807463
6,0.9804,0.060824922394752505
7,0.983,0.05501587364524603
8,0.9839,0.0493835594445467
9,0.984,0.05089659339040518
10,0.985,0.04918615162074566
11,0.9852,0.04660560250580311
12,0.9877,0.039511670622974636
13,0.9856,0.04895690347552299
14,0.9877,0.04030773020684719
15,0.9876,0.042558260011672976
16,0.9874,0.044135082167387006
17,0.9845,0.05307084738016129
18,0.989,0.03633097200319171
19,0.9814,0.06382121958732605
20,0.9889,0.038632396551966666
