round,accuracy,loss
0,0.0767,2.308560354232788
1,0.9263,0.7491977996826172
2,0.9607,0.14137422592043877
3,0.9686,0.10437559860944748
4,0.9783,0.06552175340652466
5,0.9817,0.055554619011469186
6,0.9831,0.05096075482480228
7,0.9849,0.04433531351089477
8,0.9841,0.045715857235901054
9,0.9857,0.04040539348898455
10,0.9875,0.03761653074547648
11,0.9873,0.0365074773337692
12,0.9865,0.036702324595069516
13,0.987,0.03616188269839622
14,0.9869,0.03797646177820861
15,0.9884,0.03363759432840161
16,0.9882,0.0344718892836012
17,0.9885,0.03290737573618535
18,0.9896,0.03100214331985917
19,0.9886,0.03369685078812763
20,0.9903,0.02905708438612055
