round,accuracy,loss
0,0.0595,2.3222006568908693
1,0.9282,0.8678550951004028
2,0.9696,0.11385291446447372
3,0.9775,0.0745744466677308
4,0.9822,0.05658477208428085
5,0.9841,0.048564079052582386
6,0.9862,0.0436875915683806
7,0.9866,0.04089533844422549
8,0.9869,0.03895133330710232
9,0.9874,0.037460411271825436
10,0.9887,0.03355453765927814
11,0.9892,0.03268786198529415
12,0.9898,0.03063777652555145
13,0.99,0.02899866531402804
14,0.9892,0.0306379817498615
15,0.9899,0.02907888840190135
16,0.9907,0.027533975655469112
17,0.991,0.02665175895455759
18,0.9913,0.02582197837663116
19,0.9916,0.0258742747773882
20,0.9916,0.024734849414089696
