round,accuracy,loss
0,0.0892,2.304525676345825
1,0.835,0.5608124621868134
2,0.9733,0.10949377222061157
3,0.9719,0.08773473911881446
4,0.9828,0.05474294479396194
5,0.9831,0.05585654566064477
6,0.9851,0.04912579506486654
7,0.9851,0.045334177207574246
8,0.9861,0.042617438395321366
9,0.9875,0.03959879585688468
10,0.9863,0.04594192932881415
11,0.9881,0.03476796201965772
12,0.9884,0.038151600861363114
13,0.99,0.03295197205794975
14,0.9895,0.03854416390468541
15,0.9898,0.03310973113672808
16,0.9904,0.03223057065678295
17,0.9901,0.03404466391045134
18,0.9905,0.03245801070588641
19,0.9913,0.030241279285831844
20,0.9911,0.027973545116497554
