round,accuracy,loss
0,0.1,2.2942016887664796
1,0.9293,0.6650874033927917
2,0.9687,0.09696117094606162
3,0.9766,0.07022218813486397
4,0.9814,0.0546710685569793
5,0.9839,0.046164871604181826
6,0.9859,0.04124540214790031
7,0.9867,0.038627870969288054
8,0.9882,0.036042564890766515
9,0.9891,0.0337935513229575
10,0.9893,0.032701698281452994
11,0.99,0.030240488625620492
12,0.99,0.029669135454040953
13,0.9904,0.028559700364759192
14,0.9908,0.02715611296118004
15,0.9907,0.02724533958286047
16,0.9907,0.02635357321712654
17,0.9909,0.02659370883668307
18,0.9916,0.026566612101579085
19,0.9911,0.027749424302438274
20,0.9916,0.025010747221202473
